instnm,Average net price-students awarded grant or scholarship aid  2018-19 (SFA1819),Percent full-time first-time receiving an award - 6 years (DRVOM2019),State abbreviation (HD2018),City location of institution (HD2018),ZIP code (HD2018),Admissions office web address (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Sector of institution (HD2018),Historically Black College or University (HD2018),Carnegie Classification 2018: Undergraduate Instructional Program (HD2018),Carnegie Classification 2018: Basic (HD2018),Carnegie Classification 2018: Undergraduate Profile (HD2018),Institution size category (HD2018),ROTC (IC2018_RV),Study abroad (IC2018_RV),Member of National Collegiate Athletic Association (NCAA) (IC2018),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Percent admitted - total (DRVADM2018_RV),Admissions yield - total (DRVADM2018_RV),Percent of undergraduate enrollment that are White (DRVEF2018_RV),Percent of undergraduate enrollment that are women (DRVEF2018_RV),Graduation rate  total cohort (DRVGR2018_RV),Completion of college-preparatory program (ADM2018_RV),Recommendations (ADM2018_RV),SAT Math 25th percentile score (ADM2018_RV),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018_RV),
Northern Kentucky University,,39,KY,Highland Heights,41099,https://nku.edu/admissions.html,-84.463483,39.029714,1,2,16,17,13,4,1,1,1,32892,23244,89,37,82,58,42,1,3,480,510,
Northern Michigan University,,47,MI,Marquette,49855-5301,www.nmu.edu/admissions/,-87.406568,46.559751,1,2,13,19,13,3,1,1,1,29683,24187,66,32,84,56,47,2,5,480,490,
Northern New Mexico College,,19,NM,Espanola,87532,nnmc.edu/home/student-gateway/admissions/,-106.084395,36.004073,1,2,5,23,7,1,0,0,0,,,,,9,63,22,,,,,
Northern State University,,43,SD,Aberdeen,57401-7198,www.northern.edu/admissions,-98.484728,45.450829,1,2,16,20,13,2,0,1,1,24799,21826,88,36,83,58,48,1,3,460,470,
Northern Vermont University,,40,VT,Johnson,05656-9464,www.northernvermont.edu/admissions-and-aid,-72.671154,44.641736,1,2,16,20,11,2,0,1,1,38744,25424,84,22,81,56,39,2,1,,,
Northland College,19822,63,WI,Ashland,54806-3999,https://www.northland.edu/admissions/,-90.874760,46.579087,2,2,12,22,12,1,0,1,1,48809,48809,51,11,72,54,54,1,2,,,
Northpoint Bible College,25405,65,MA,Haverhill,01835,www.northpoint.edu,-71.079335,42.765357,2,2,20,24,11,1,0,0,0,28180,28180,,,70,46,46,,,,,
NorthShore University HealthSystem School of Nurse Anesthesia,,,IL,Evanston,60201-1718, ,-87.684445,42.065549,2,2,-2,-2,-2,1,0,0,-2,,,,,,,,,,,,
Northwest Florida State College,,40,FL,Niceville,32578-1295,www.nwfsc.edu/Students/Enrollment/Admissions/,-86.474560,30.540017,1,2,5,23,5,3,0,0,0,,,,,61,60,35,,,,,
Northwest Indian College,,14,WA,Bellingham,98226-9217,www.nwic.edu/life-on-campus/admissions/,-122.614656,48.794131,1,2,5,33,6,1,0,0,0,13989,13989,,,2,66,11,,,,,
Northwest Missouri State University,,49,MO,Maryville,64468-6001,www.nwmissouri.edu/admissions/index.htm,-94.883339,40.351692,1,2,16,18,12,3,0,1,1,25073,19751,79,28,81,57,49,1,3,498,478,
Northwest Nazarene University,20559,60,ID,Nampa,83686-5897,love.nnu.edu,-116.565783,43.562411,2,2,16,18,13,2,1,1,1,40890,40890,71,37,79,57,59,2,3,500,520,
Northwest University,22010,57,WA,Kirkland,98083-0579,www.northwestu.edu/home/admissions.php,-122.192763,47.657945,2,2,16,19,13,2,1,1,0,43440,43440,95,52,64,66,55,3,2,510,520,
Northwest University-College of Adult and Professional Studies,26033,,WA,Kirkland,98033,www.northwestu.edu/home/admissions.php,-122.195774,47.657502,2,2,16,22,7,2,1,1,0,,,,,44,52,,,,,,
Northwestern College,24085,68,IA,Orange City,51041,https://www.nwciowa.edu/admissions/,-96.058772,42.999007,2,2,16,22,12,2,0,1,0,44600,44600,71,29,83,56,69,2,2,520,530,
Northwestern Health Sciences University,,50,MN,Bloomington,55431,www.nwhealth.edu/admissions,-93.311222,44.850963,2,2,6,26,7,1,0,1,0,,,,,18,71,43,,,,,
Northwestern Michigan College,,27,MI,Traverse City,49686,https://www.nmc.edu/admissions/index.html,-85.585517,44.765436,1,2,5,14,5,2,0,1,0,24340,22333,,,82,51,23,,,,,
Northwestern Oklahoma State University,,27,OK,Alva,73717-2799,www.nwosu.edu/apply-for-admission,-98.667673,36.796658,1,2,16,20,7,2,0,1,1,24038,16951,62,51,64,59,30,3,3,520,510,
Northwestern Polytechnic University,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern State University of Louisiana,,38,LA,Natchitoches,71497-0002,www.nsula.edu/admissions/,-93.097797,31.750666,1,2,16,18,9,4,1,1,1,33460,22672,82,43,56,70,45,1,3,460,460,
Northwestern University,26196,94,IL,Evanston,60208,www.northwestern.edu/admissions/,-87.679858,42.050356,2,2,11,15,14,5,1,1,1,74649,74649,8,56,45,51,95,1,1,730,700,
Northwood University,20610,55,MI,Midland,48640-2398,www.northwood.edu/admissions,-84.276820,43.628717,2,2,19,29,9,2,0,1,1,41670,41670,68,27,66,42,49,2,2,500,490,
Norwich University,26343,60,VT,Northfield,05663-1035,www.norwich.edu/admissions,-72.659783,44.140237,2,2,16,18,9,2,1,1,1,58054,58054,66,25,72,24,62,3,2,,,
Notre Dame College,20061,35,OH,Cleveland,44121-4293,www.notredamecollege.edu/admissions,-81.516617,41.506894,2,2,16,20,11,2,1,1,1,45150,45150,90,14,58,53,42,2,2,420,440,
Notre Dame de Namur University,24682,53,CA,Belmont,94002-1908,www.ndnu.edu/admissions/,-122.284794,37.517111,2,2,10,19,7,2,1,1,1,56288,56288,97,11,20,66,52,2,1,430,440,
Notre Dame of Maryland University,19664,43,MD,Baltimore,21210-2476,www.ndm.edu/admissions/,-76.619739,39.350612,2,2,16,18,7,2,1,1,1,51670,51670,88,20,39,96,53,1,1,460,470,
Nova Southeastern University,24776,51,FL,Fort Lauderdale,33314-7796,www.nova.edu/admissions.html,-80.242480,26.079337,2,2,16,16,9,5,0,1,1,50597,50597,79,18,29,71,50,1,1,530,550,
Nueta Hidatsa Sahnish College,,13,ND,New Town,58763,nhsc.edu/students/admissions/,-102.472814,47.983311,1,2,5,33,7,1,0,0,0,15490,15490,,,6,67,0,,,,,
Nyack College,20133,42,NY,Nyack,10960-3698,www.nyack.edu/admissions,-73.927863,41.081957,2,2,16,18,11,2,0,1,1,40497,40497,98,44,21,56,42,2,1,423,445,
Oak Hills Christian College,16989,63,MN,Bemidji,56601-8834,www.oakhills.edu,-94.901503,47.425836,2,2,18,24,11,1,0,0,0,30478,30478,37,90,74,45,38,3,1,360,430,
Oakland City University,12416,43,IN,Oakland City,47660-1099,www.oak.edu/admissions-and-aid,-87.351440,38.340891,2,2,16,22,11,2,0,0,1,38968,38968,50,28,77,53,57,2,3,462,450,
Oakland University,,45,MI,Rochester Hills,48309-4401,www.oakland.edu/futurestudents,-83.216418,42.674573,1,2,16,16,13,4,1,1,1,37148,25524,84,26,74,56,55,1,2,500,510,
Oakwood University,23398,46,AL,Huntsville,35896,https://my.oakwood.edu/ICS/Admissions/,-86.652705,34.756344,2,1,13,22,10,2,0,1,0,38762,38762,66,28,1,57,48,2,2,532,410,
Oberlin College,43612,86,OH,Oberlin,44074,new.oberlin.edu/arts-and-sciences/admissions/,-82.216795,41.291992,2,2,7,21,14,2,0,1,1,74636,74636,36,30,62,57,86,1,1,630,650,
Oblate School of Theology,,,TX,San Antonio,78216-6693, ,-98.503113,29.505434,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Occidental College,35362,84,CA,Los Angeles,90041-3392,https://www.oxy.edu/admission-aid,-118.210908,34.127124,2,2,6,21,14,2,0,1,1,74132,74132,37,21,49,58,85,2,1,630,640,
Oglala Lakota College,,5,SD,Kyle,57752-0490,olc.edu/student_services/admissions.htm,-102.240331,43.366813,1,2,5,33,7,2,0,0,0,12034,12034,,,4,67,11,,,,,
Oglethorpe University,22539,48,GA,Atlanta,30319-2797,www.oglethorpe.edu/admission/,-84.333687,33.875441,2,2,9,21,14,2,0,1,1,55250,55250,62,24,41,57,54,1,2,540,570,
Ohio Christian University,24515,34,OH,Circleville,43113-9487,www.ohiochristian.edu/university-admissions,-82.904885,39.613155,2,2,19,19,7,2,1,0,0,33532,33532,,,52,65,25,,,,,
Ohio Dominican University,20478,47,OH,Columbus,43219,www.ohiodominican.edu/admissions,-82.940689,39.992764,2,2,16,18,13,2,1,1,1,45220,45220,75,22,51,54,50,2,3,470,450,
Ohio Northern University,24821,79,OH,Ada,45810-1599,www.onu.edu/admissions,-83.827441,40.766200,2,2,16,22,14,2,1,1,1,47711,47711,68,23,78,45,72,1,1,540,550,
Ohio State University-Lima Campus,,12,OH,Lima,45804,lima.osu.edu/students/admissions/,-84.023840,40.738521,1,2,5,23,10,2,0,0,0,,,,,81,54,39,,,,,
Ohio State University-Main Campus,,82,OH,Columbus,43210,undergrad.osu.edu/,-83.014853,39.999324,1,2,17,15,15,5,1,1,1,47383,27367,52,32,67,49,84,1,5,650,590,
Ohio State University-Mansfield Campus,,23,OH,Mansfield,44906,mansfield.osu.edu/future-students/admissions/,-82.580194,40.796536,1,2,5,23,10,2,0,0,0,43018,23002,,,79,52,40,,,,,
Ohio State University-Marion Campus,,11,OH,Marion,43302-5695,osumarion.osu.edu/future-students/undergraduate-students.html,-83.090597,40.577779,1,2,5,23,10,2,0,0,0,,,,,80,49,41,,,,,
Ohio State University-Newark Campus,,14,OH,Newark,43055,newark.osu.edu/future-students/contact-us/,-82.447441,40.069314,1,2,5,23,10,2,0,0,0,43018,23002,,,68,50,40,,,,,
Ohio University-Chillicothe Campus,,25,OH,Chillicothe,45601-0629,www.ohio.edu/chillicothe/studentservices/admissions.cfm,-83.002175,39.329404,1,2,5,14,7,2,0,0,0,,,,,89,66,24,,,,,
Ohio University-Eastern Campus,,43,OH,Saint Clairsville,43950,www.ohio.edu/eastern/futurestudents/Admissions.cfm,-80.976073,40.073392,1,2,5,14,7,1,0,0,0,,,,,89,63,32,,,,,
Ohio University-Lancaster Campus,,30,OH,Lancaster,43130-1037,www.ohio.edu/lancaster/futurestudents/index.cfm,-82.586069,39.738752,1,2,5,14,6,2,0,0,0,,,,,86,59,30,,,,,
Ohio University-Main Campus,,64,OH,Athens,45701-2979,www.ohio.edu/admissions/,-82.100985,39.326798,1,2,17,16,9,5,1,1,1,38450,28986,78,22,82,60,64,1,2,530,540,
Ohio University-Southern Campus,,26,OH,Ironton,45638,www.southern.ohiou.edu/pages/students/prospective-students/admissions-home.htm,-82.666876,38.524781,1,2,5,14,7,2,0,0,0,,,,,90,69,20,,,,,
Ohio University-Zanesville Campus,,30,OH,Zanesville,43701,www.ohio.edu/zanesville/futurestudents/,-82.031063,39.960980,1,2,18,32,7,2,0,0,0,,,,,88,70,30,,,,,
Ohio Valley University,18961,32,WV,Vienna,26105-8000,https://www.ovu.edu/admissions,-81.537808,39.312447,2,2,18,22,11,1,0,1,1,32880,32880,34,38,49,51,46,3,5,480,480,
Ohio Wesleyan University,27242,70,OH,Delaware,43015-2370,admission.owu.edu/,-83.069757,40.295963,2,2,9,21,12,2,0,1,1,61910,61910,69,14,68,54,67,1,1,,,
Ohr Hameir Theological Seminary,,3,NY,Peekskill,10566,https://ohrhameir.com,-73.889793,41.268725,2,2,5,24,11,1,0,0,0,21350,21350,,,93,0,100,1,1,,,
Oikos University,,,CA,Oakland,94621-2041,www.oikos.edu,-122.199689,37.742256,2,2,-2,-2,-2,1,0,0,0,,,43,67,0,53,,3,1,,,
Oklahoma Baptist University,23175,58,OK,Shawnee,74804,https://www.okbu.edu/admissions,-96.932459,35.360492,2,2,16,22,12,2,1,1,1,41576,41576,64,19,67,60,52,2,2,490,500,
Oklahoma Christian University,22137,54,OK,Edmond,73013,www.oc.edu/admissions/,-97.469526,35.611412,2,2,16,18,12,2,1,1,1,36605,36605,65,29,73,50,57,2,2,510,510,
Oklahoma City University,24264,64,OK,Oklahoma City,73106-1402,www.okcu.edu/admissions/,-97.541242,35.495271,2,2,13,17,15,2,1,1,0,44172,44172,76,28,62,68,64,2,1,540,550,
Oklahoma Panhandle State University,,16,OK,Goodwell,73939-0430,www.opsu.edu/Offices/Admissions/,-101.638488,36.594518,1,2,15,22,10,2,0,1,0,17165,16421,,,35,51,27,,,,,
Oklahoma State University Center for Health Sciences,,,OK,Tulsa,74107-1898,https://health.okstate.edu/com/admissions/index.html,-96.005702,36.137977,1,2,0,25,0,1,0,0,0,,,,,,,,,,,,
Oklahoma State University Institute of Technology,,28,OK,Okmulgee,74447-3901,www.osuit.edu/admissions/,-95.940373,35.626934,1,2,5,23,7,2,0,0,0,19602,13992,,,44,36,36,,,,,
Oklahoma State University-Main Campus,,61,OK,Stillwater,74078-1015,https://admissions.okstate.edu/,-97.069743,36.123085,1,2,17,15,15,5,1,1,1,39625,24105,74,39,67,49,61,2,3,520,540,
Oklahoma State University-Oklahoma City,,11,OK,Oklahoma City,73107-6195,www.osuokc.edu/apply/,-97.581959,35.474969,1,2,5,14,5,3,0,1,0,,,,,54,63,10,,,,,
Oklahoma Wesleyan University,24501,45,OK,Bartlesville,74006-6299,www.okwu.edu/undergrad,-95.956710,36.717453,2,2,19,19,7,2,0,0,0,40306,40306,68,12,62,58,38,2,3,446,244,
Old Dominion University,,54,VA,Norfolk,23529,www.odu.edu/admission,-76.306660,36.886418,1,2,14,16,9,5,1,1,1,45356,26456,87,27,44,55,52,2,2,490,500,
Olivet College,22241,49,MI,Olivet,49076,https://www.olivetcollege.edu/admissions,-84.923891,42.442891,2,2,16,22,12,2,0,0,1,41236,41236,71,31,66,44,48,2,3,420,430,
Olivet Nazarene University,21043,65,IL,Bourbonnais,60914-2271,www.olivet.edu/admissions,-87.875165,41.155237,2,2,16,18,13,2,1,1,0,47670,47670,65,26,75,59,61,2,1,490,510,
Olympic College,,28,WA,Bremerton,98337-1699,www.olympic.edu/Students/GettingStarted/Admissions/,-122.635113,47.574769,1,2,5,14,7,3,0,0,0,19091,18621,,,63,54,24,,,,,
Omega Graduate School,,,TN,Dayton,37321-6736,www.ogs.edu/admissions/,-85.053774,35.468142,2,2,0,32,0,1,0,0,0,,,,,,,,,,,,
Oral Roberts University,20872,45,OK,Tulsa,74171,oru.edu/admissions/,-95.952547,36.049129,2,2,19,22,13,2,1,1,1,42660,42660,81,23,43,60,57,2,5,500,515,
Oregon College of Art and Craft,,,OR,Portland,97225,www.ocac.edu/admissions,-122.761912,45.511121,2,2,8,30,11,1,0,0,0,49015,49015,98,25,73,72,37,3,2,,,
Oregon College of Oriental Medicine,,,OR,Portland,97209,ocom.edu/admissions/why-ocom,-122.671099,45.524121,2,2,0,26,0,1,0,1,0,,,,,,,,,,,,
Oregon Health & Science University,,,OR,Portland,97239-3098,www.ohsu.edu/xd/education/admissions,-122.686096,45.498772,1,2,20,25,5,2,0,0,0,,,,,69,83,,,,,,
Oregon Institute of Technology,,44,OR,Klamath Falls,97601-8801,www.oit.edu/admissions,-121.785177,42.257152,1,2,19,22,9,3,0,1,0,42802,24252,96,40,66,48,52,2,3,520,510,
Oregon State University,,64,OR,Corvallis,97331,https://admissions.oregonstate.edu,-123.274723,44.563950,1,2,17,15,9,5,1,1,1,45867,26892,81,31,63,46,67,1,3,540,540,
Oregon State University-Cascades Campus,,,OR,Bend,97702,https://osucascades.edu/admissions,-121.333703,44.042795,1,2,-2,-2,-2,2,1,1,0,45129,25884,78,27,75,51,,1,3,520,505,
Otis College of Art and Design,45406,55,CA,Los Angeles,90045-3505,www.otis.edu/admissions,-118.416615,33.956607,2,2,14,30,11,2,0,1,0,66160,66160,94,16,29,66,60,2,5,510,540,
Ottawa University-Kansas City,,,KS,Overland Park,66211,www.ottawa.edu/Adult-Education/Admission-Requirements,-94.635461,38.932055,2,2,19,22,7,1,0,0,0,,,,,73,77,,,,,,
Ottawa University-Milwaukee,,,WI,Brookfield,53005,www.ottawa.edu/Adult-Education/Admission-Requirements,-88.115185,43.029630,2,2,19,22,5,1,0,0,0,,,,,64,80,,,,,,
Ottawa University-Online,,,KS,Ottawa,66067,www.ottawa.edu/Adult-Education/Admission-Requirements,-95.264165,38.602351,2,2,16,22,5,1,0,0,0,,,97,59,60,70,,2,5,,,
Ottawa University-Ottawa,24718,41,KS,Ottawa,66067-3399,www.ottawa.edu/Residential-Campus/Admissions-Requirements,-95.264187,38.603173,2,2,16,22,11,1,0,1,0,44460,44460,78,87,54,42,45,2,2,470,480,
Ottawa University-Phoenix,,,AZ,Phoenix,85021,www.ottawa.edu/Adult-Education/Admission-Requirements,-112.113001,33.572173,2,2,19,20,7,1,0,0,0,,,,,56,71,,,,,,
Ottawa University-Surprise,30976,,AZ,Surprise,85374,www.ottawa.edu/ouaz/admissions/,-112.368233,33.628923,2,2,-2,-2,-2,1,0,0,0,44295,44295,47,44,50,43,,5,5,460,480,
Otterbein University,23732,63,OH,Westerville,43081,www.otterbein.edu/public/FutureStudents.aspx,-82.936444,40.125327,2,2,16,19,12,2,0,1,1,46908,46908,81,24,75,62,62,2,1,550,555,
Ouachita Baptist University,19962,63,AR,Arkadelphia,71998-0001,www.obu.edu/admissions/,-93.052471,34.126093,2,2,12,22,12,2,1,1,1,38770,38770,64,32,82,55,64,2,3,520,520,
Our Lady of the Lake University,18012,38,TX,San Antonio,78207-4689,www.ollusa.edu/admissions,-98.543650,29.426194,2,2,16,17,11,2,1,1,0,43168,43168,93,9,10,68,37,2,3,450,460,
Ozark Christian College,15101,44,MO,Joplin,64801,occ.edu/Admissions,-94.510622,37.103172,2,2,18,24,9,1,0,0,0,22178,22178,58,61,84,48,52,5,5,510,510,
Pace University,32492,54,NY,New York,10038-1598,www.pace.edu/admissions-and-aid,-74.004719,40.711014,2,2,16,17,13,4,0,1,1,66499,66499,76,12,50,61,56,1,1,520,540,
Pacific Lutheran University,25362,70,WA,Tacoma,98447-0003,www.plu.edu/admission/,-122.440421,47.145160,2,2,10,19,13,2,1,1,1,56784,56784,80,22,58,64,67,2,1,530,540,
Pacific Northwest College of Art,37252,29,OR,Portland,97209-3404,pnca.edu/admissions/reqs/welcome,-122.678182,45.526766,2,2,13,30,11,1,0,1,0,55410,55410,93,12,53,67,43,3,5,,,
Pacific Northwest University of Health Sciences,,,WA,Yakima,98901,https://www.pnwu.edu/admissions/prospective-students,-120.455980,46.602872,2,2,0,25,0,1,0,0,0,,,,,,,,,,,,
Pacific Oaks College,,,CA,Pasadena,91103,www.pacificoaks.edu/admission/,-118.151323,34.153382,2,2,20,32,5,2,0,1,0,,,31,16,19,92,,5,5,,,
Pacific Rim Christian University,13927,70,HI,Honolulu,96819-2228, ,-157.888379,21.328198,2,2,13,21,9,1,0,0,0,21877,21877,70,79,17,43,29,3,1,,,
Pacific School of Religion,,,CA,Berkeley,94709,www.psr.edu/admissions,-122.263155,37.876690,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Pacific States University,,0,CA,Los Angeles,90010-2263, ,-118.298408,34.061315,2,2,8,29,0,1,0,0,0,,,,,0,50,14,,,,,
Pacific Union College,22585,56,CA,Angwin,94508-9707,www.puc.edu/admissions,-122.440308,38.570585,2,2,16,22,11,2,0,1,0,43527,43527,49,18,23,61,55,2,1,460,490,
Pacific University,29432,64,OR,Forest Grove,97116,https://www.pacificu.edu/admissions/undergraduate-admissions,-123.108777,45.521394,2,2,13,17,15,2,1,1,1,59490,59490,85,20,50,62,65,2,1,530,530,
Paine College,12683,14,GA,Augusta,30901-3182,https://www.paine.edu/web/admission/admissions,-81.993225,33.469545,2,1,12,22,11,1,1,0,1,26782,26782,40,14,0,57,27,2,1,370,410,
Palm Beach Atlantic University,25908,54,FL,West Palm Beach,33401,www.pba.edu/admissions/,-80.052470,26.704400,2,2,13,17,13,2,1,1,1,48914,48914,95,38,59,63,53,2,1,490,510,
Palm Beach State College,,45,FL,Lake Worth,33461-4796,www.palmbeachstate.edu/admissions,-80.086530,26.612560,1,2,5,14,5,5,0,1,0,,,,,31,58,37,,,,,
Palmer College of Chiropractic,,100,IA,Davenport,52803-5287,www.palmer.edu/Admissions/,-90.574607,41.529021,2,2,6,26,11,2,0,0,0,32054,32054,,,88,29,67,,,,,
Palo Alto University,,,CA,Palo Alto,94304-1337,www.paloaltou.edu/admissions,-122.187437,37.382216,2,2,8,26,11,2,0,0,0,,,,,18,63,,,,,,
Pardee RAND Graduate School,,,CA,Santa Monica,90401-3208,https://www.prgs.edu/admissions.html,-118.490655,34.009730,2,2,0,32,0,1,0,0,0,,,,,,,,,,,,
Park University,14695,21,MO,Parkville,64152-3795,www.park.edu/admissions/,-94.679041,39.189256,2,2,19,18,5,4,1,1,0,24499,24499,,,45,44,33,,,,,
Parker University,21676,76,TX,Dallas,75229-5668,https://www.parker.edu/learn-more/,-96.893564,32.880335,2,2,12,26,11,2,0,1,0,,,,,36,73,80,,,,,
Pasco-Hernando State College,,38,FL,New Port Richey,34654-5199,https://admissions.phsc.edu,-82.646727,28.275100,1,2,5,14,5,4,0,0,0,,,,,64,62,35,,,,,
Patrick Henry College,25585,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Quinn College,13951,19,TX,Dallas,75241,www.pqc.edu/index.php?option=com_content&view=article&id=146&Itemid=159,-96.755778,32.678837,2,1,15,22,11,1,0,1,0,19020,19020,90,20,1,56,20,2,1,350,362,
Paul Smiths College of Arts and Science,25132,53,NY,Paul Smiths,12970-0265,www.paulsmiths.edu/admissions/,-74.252675,44.433965,2,2,18,22,13,1,1,1,0,45792,45792,86,19,86,33,51,2,2,,,
Payne Theological Seminary,,,OH,Wilberforce,45384,www.payne.edu,-83.884871,39.715286,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Peirce College,8711,21,PA,Philadelphia,19102-4699,https://www.peirce.edu/admissions/applying-to-peirce,-75.166332,39.945483,2,2,19,22,5,2,0,0,0,,,,,18,72,35,,,,,
Peninsula College,,35,WA,Port Angeles,98362,www.pencol.edu/admissions,-123.412865,48.101295,1,2,5,14,7,2,0,0,0,,,,,57,55,38,,,,,
Pennsylvania Academy of the Fine Arts,37461,48,PA,Philadelphia,19102-1510,https://www.pafa.org/admissions,-75.163456,39.955692,2,2,8,30,11,1,0,1,0,61071,61071,90,22,61,71,52,3,1,,,
Pennsylvania College of Art and Design,26927,45,PA,Lancaster,17608-0059,www.pcad.edu/Admissions,-76.308769,40.041152,2,2,15,30,14,1,0,0,0,38782,38782,44,41,73,67,59,2,2,,,
Pennsylvania College of Health Sciences,31064,65,PA,Lancaster,17601,www.pacollege.edu/admissions/,-76.247035,40.060419,2,2,5,26,5,2,0,0,0,,,74,42,77,87,66,2,1,,,
Pennsylvania College of Technology,,48,PA,Williamsport,17701-5799,https://www.pct.edu/admissions/,-77.023665,41.234145,1,2,5,23,11,3,1,1,1,40292,33152,,,88,37,47,,,,,
Pennsylvania State University-College of Medicine,,,PA,Hershey,17033-2360,med.psu.edu/web/college/admissions,-76.674080,40.264245,1,2,0,25,0,1,0,1,0,,,,,,,,,,,,
Pennsylvania State University-Dickinson Law,,,PA,Carlisle,17013-2861,law.psu.edu/admissions,-77.197794,40.199443,1,2,0,31,0,1,0,1,0,,,,,,,,,,,,
Pennsylvania State University-Main Campus,,68,PA,University Park,16802-1503,admissions.psu.edu/,-77.862848,40.796500,1,2,17,15,14,5,1,1,1,53056,36652,56,27,66,47,85,2,3,580,580,
Pennsylvania State University-Penn State Abington,,68,PA,Abington,19001-3918,admissions.psu.edu/,-75.109083,40.116830,1,2,15,22,12,2,1,1,1,41476,32722,85,27,43,49,54,2,3,510,500,
Pennsylvania State University-Penn State Altoona,,68,PA,Altoona,16601-3777,admissions.psu.edu/,-78.408247,40.540920,1,2,15,22,12,2,1,1,1,42648,33396,91,28,75,45,64,2,3,500,500,
Pennsylvania State University-Penn State Beaver,,68,PA,Monaca,15061-2764,admissions.psu.edu/,-80.296235,40.678254,1,2,12,22,12,1,0,1,0,40084,31900,64,22,69,41,46,2,3,510,490,
Pennsylvania State University-Penn State Berks,,68,PA,Reading,19610-1016,admissions.psu.edu/,-75.972141,40.357987,1,2,12,22,12,2,1,1,1,42648,33396,87,38,67,40,59,2,3,500,500,
Pennsylvania State University-Penn State Brandywine,,68,PA,Media,19063-5522,admissions.psu.edu/,-75.446983,39.926381,1,2,12,21,10,2,1,1,0,41226,32666,87,32,57,40,47,2,3,480,480,
Pennsylvania State University-Penn State DuBois,,68,PA,DuBois,15801-2549,admissions.psu.edu/,-78.751784,41.126941,1,2,5,23,12,1,0,1,0,,,85,49,84,39,53,2,3,490,490,
Pennsylvania State University-Penn State Erie-Behrend College,,68,PA,Erie,16563-0001,admissions.psu.edu/,-79.983773,42.119433,1,2,16,20,12,2,1,1,1,42648,33396,89,35,77,34,66,2,3,530,520,
Pennsylvania State University-Penn State Fayette- Eberly,,68,PA,Lemont Furnace,15456-1025,admissions.psu.edu/,-79.657769,39.947217,1,2,18,22,10,1,0,1,0,,,80,45,87,54,49,2,3,470,490,
Pennsylvania State University-Penn State Great Valley,,,PA,Malvern,19355-1488,greatvalley.psu.edu/Admission/,-75.522545,40.052256,1,2,0,18,0,1,0,0,0,,,,,,,,,,,,
Pennsylvania State University-Penn State Greater Allegheny,,68,PA,McKeesport,15132-7644,admissions.psu.edu/,-79.827447,40.345582,1,2,12,22,12,1,1,1,0,40084,31900,87,34,58,41,46,2,3,470,460,
Pennsylvania State University-Penn State Harrisburg,,68,PA,Middletown,17057-4846,admissions.psu.edu/,-76.742300,40.203766,1,2,16,18,13,2,1,1,1,42648,33396,88,25,54,39,63,2,3,530,520,
Pennsylvania State University-Penn State Hazleton,,68,PA,Hazleton,18202-8025,admissions.psu.edu/,-76.031061,40.983958,1,2,15,22,10,1,1,1,0,41226,32666,86,49,66,50,51,2,3,470,460,
Pennsylvania State University-Penn State Lehigh Valley,,68,PA,Center Valley,18034-8447,admissions.psu.edu/,-75.402507,40.559208,1,2,15,22,12,1,1,1,0,,,85,26,55,46,63,2,3,510,500,
Pennsylvania State University-Penn State Mont Alto,,68,PA,Mont Alto,17237-9700,admissions.psu.edu/,-77.542355,39.842047,1,2,5,23,12,1,1,1,0,40084,31900,76,49,79,55,50,2,3,490,480,
Pennsylvania State University-Penn State New Kensington,,68,PA,New Kensington,15068-1765,admissions.psu.edu/,-79.697232,40.551159,1,2,15,22,13,1,1,1,0,,,80,46,85,38,47,2,3,490,500,
